,episode,time_sec,action,updated action
0,1,480.1,"0,0,1,1,1,1,1,0,0,1,0","0,0,1,0,0,1,0,0,0,0,0"
1,1,480.2,"1,0,1,0,1,1,0,0,0,0,0","0,0,1,0,0,1,0,0,0,0,0"
2,1,480.3,"0,1,1,0,0,1,0,1,0,1,0","0,0,1,0,0,1,0,1,0,0,0"
3,1,480.4,"0,1,1,1,1,1,1,1,1,0,0","0,0,1,0,0,1,0,1,0,0,0"
4,1,480.5,"0,0,0,0,1,1,1,0,0,1,1","0,0,0,0,0,1,0,0,0,0,1"
5,1,480.6,"0,0,1,0,1,1,0,1,0,1,1","0,0,1,0,0,1,0,1,0,0,1"
6,1,480.7,"0,1,1,0,0,1,0,1,1,1,0","0,0,1,0,0,1,0,1,0,0,0"
7,1,480.8,"0,1,0,1,1,1,0,0,1,1,1","0,0,0,0,0,1,0,0,0,0,1"
8,1,480.9,"0,1,1,1,1,1,0,1,1,0,0","0,1,1,0,0,1,0,1,0,0,0"
9,1,481.0,"1,1,1,0,0,1,0,1,1,1,1","0,1,1,0,0,1,0,1,0,0,1"
10,1,481.1,"1,1,1,0,1,1,0,1,0,0,1","0,1,1,0,0,1,0,1,0,0,1"
11,1,481.2,"1,0,0,0,1,1,0,0,1,0,0","0,0,0,0,0,1,0,0,0,0,0"
12,1,481.3,"1,1,0,1,0,1,1,1,1,1,1","0,1,0,0,0,1,0,1,0,0,1"
13,1,481.4,"1,1,1,0,0,1,1,1,1,0,1","0,1,1,0,0,0,0,1,0,0,1"
14,1,481.5,"1,0,1,1,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0"
15,1,481.6,"1,1,1,1,0,1,0,1,1,1,1","0,1,1,0,0,0,0,1,0,0,1"
16,1,481.7,"1,1,0,0,1,0,0,1,0,0,0","0,1,0,0,0,0,0,1,0,0,0"
17,1,481.8,"1,1,1,0,1,1,0,0,0,1,0","0,1,1,0,0,0,0,0,0,0,0"
18,1,481.9,"0,1,1,1,1,1,1,0,1,0,0","0,1,1,0,0,0,0,0,0,0,0"
19,1,482.0,"1,1,1,1,1,1,1,0,1,1,0","0,1,1,0,0,0,0,0,0,0,0"
20,1,482.1,"0,1,1,1,0,0,0,0,0,1,1","0,1,1,0,0,0,0,0,0,0,1"
21,1,482.2,"1,1,1,1,1,1,0,1,0,1,1","0,1,1,0,0,0,0,0,0,0,1"
22,1,482.3,"1,0,1,1,0,1,1,1,1,0,0","0,0,1,0,0,0,0,0,0,0,0"
23,1,482.4,"0,0,1,1,0,1,1,0,1,1,1","0,0,1,0,0,0,0,0,0,0,1"
24,1,482.5,"1,1,0,0,1,1,0,0,1,0,0","0,1,0,0,0,0,0,0,0,0,0"
25,1,482.6,"0,1,0,1,1,0,1,0,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
26,1,482.7,"1,0,1,1,1,1,0,0,1,1,1","0,0,1,0,0,0,0,0,0,1,1"
27,1,482.8,"1,1,1,1,0,1,1,0,1,0,0","0,1,1,0,0,0,0,0,0,0,0"
28,1,482.9,"0,1,1,1,1,1,0,0,1,1,0","0,1,1,0,0,0,0,0,0,1,0"
29,1,483.0,"1,1,1,1,0,1,0,1,0,1,1","0,1,1,0,0,0,0,0,0,1,1"
30,1,483.1,"0,1,0,0,1,0,0,1,1,0,0","0,1,0,0,1,0,0,0,0,0,0"
31,1,483.2,"0,1,1,0,0,1,0,0,0,1,1","0,1,1,0,0,0,0,0,0,1,1"
32,1,483.3,"0,1,0,1,0,0,0,1,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
33,1,483.4,"1,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,0,0,0,0,1,0"
