datetime,node,signal_group,push_button pressed,request status
2023-10-13 11:45:54.268000,2,4,1,Button Pressed
2023-10-13 11:46:03.666000,2,4,1,Serving Push_Button Request
2023-10-13 11:46:42.645000,2,4,1,Next Button Pressed to current
2023-10-13 11:46:53.050082,2,4,1,Serving Push_Button Request
2023-10-13 11:47:34.224000,2,2,1,Next Button Pressed to current
2023-10-13 11:45:57.914000,3,4,1,Button Pressed
2023-10-13 11:46:07.911000,3,4,1,Serving Push_Button Request
2023-10-13 11:46:33.897000,3,4,1,Next Button Pressed to current
2023-10-13 11:47:17.476000,3,4,1,Serving Push_Button Request
2023-10-13 11:45:30.347000,5,2,1,Button Pressed
2023-10-13 11:45:42.045000,5,2,1,Serving Push_Button Request
2023-10-13 11:46:01.041000,5,4,1,Next Button Pressed to current
2023-10-13 11:46:06.640000,5,4,1,Serving Push_Button Request
2023-10-13 11:46:29.728000,5,2,1,Next Button Pressed to current
2023-10-13 11:46:35.425000,5,2,1,Serving Push_Button Request
2023-10-13 11:46:54.513000,5,4,1,Next Button Pressed to current
2023-10-13 11:47:00.211000,5,4,1,Serving Push_Button Request
2023-10-13 11:47:23.202000,5,2,1,Next Button Pressed to current
2023-10-13 11:47:26.972006,5,2,1,Serving Push_Button Request
